TIME	TEMP	VCCINT	VCCBRAM	VCCAUX	VP	VN	VAUXP[0]	VAUXN[0]	VAUXP[1]	VAUXN[1]	VAUXP[2]	VAUXN[2]	VAUXP[3]	VAUXN[3]	VAUXP[4]	VAUXN[4]	VAUXP[5]	VAUXN[5]	VAUXP[6]	VAUXN[6]	VAUXP[7]	VAUXN[7]	VAUXP[8]	VAUXN[8]	VAUXP[9]	VAUXN[9]	VAUXP[10]	VAUXN[10]	VAUXP[11]	VAUXN[11]	VAUXP[12]	VAUXN[12]	VAUXP[13]	VAUXN[13]	VAUXP[14]	VAUXN[14]	VAUXP[15]	VAUXN[15]	
13420	63	1.02	1.02	1.8	0.54	0	0.5338	0	0.5084	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	0.5338	0	0.9989	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	//
14640	63	1.02	1.02	1.8	0.54	0	0.5368	0	0.5092	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	0.5368	0	0.9986	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	//
15860	63	1.02	1.02	1.8	0.54	0	0.5399	0	0.51	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	0.5399	0	0.9984	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	0.54	0	//
17080	63	1.02	1.02	1.8	0.55	0	0.5429	0	0.5107	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	0.5429	0	0.9982	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	//
18300	63	1.02	1.02	1.8	0.55	0	0.546	0	0.5115	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	0.546	0	0.9979	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	//
19520	63	1.02	1.02	1.8	0.55	0	0.5491	0	0.5123	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	0.5491	0	0.9976	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	0.55	0	//
20740	63	1.02	1.02	1.8	0.56	0	0.5521	0	0.513	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	0.5521	0	0.9973	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	//
21960	63	1.02	1.02	1.8	0.56	0	0.5552	0	0.5138	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	0.5552	0	0.997	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	//
23180	63	1.02	1.02	1.8	0.56	0	0.5582	0	0.5146	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	0.5582	0	0.9966	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	0.56	0	//
24400	63	1.02	1.02	1.8	0.57	0	0.5613	0	0.5153	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.5613	0	0.9962	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	//
25620	63	1.02	1.02	1.8	0.57	0	0.5643	0	0.5161	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.5643	0	0.9959	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	//
26840	63	1.02	1.02	1.8	0.57	0	0.5674	0	0.5169	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.5674	0	0.9955	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	//
28060	63	1.02	1.02	1.8	0.57	0	0.5704	0	0.5176	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.5704	0	0.995	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	0.57	0	//
29280	63	1.02	1.02	1.8	0.58	0	0.5734	0	0.5184	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	0.5734	0	0.9946	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	//
30500	63	1.02	1.02	1.8	0.58	0	0.5765	0	0.5192	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	0.5765	0	0.9941	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	//
31720	63	1.02	1.02	1.8	0.58	0	0.5795	0	0.5199	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	0.5795	0	0.9937	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	0.58	0	//
32940	63	1.02	1.02	1.8	0.59	0	0.5825	0	0.5207	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	0.5825	0	0.9932	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	//
34160	63	1.02	1.02	1.8	0.59	0	0.5856	0	0.5215	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	0.5856	0	0.9926	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	//
35380	63	1.02	1.02	1.8	0.59	0	0.5886	0	0.5222	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	0.5886	0	0.9921	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	0.59	0	//
36600	63	1.02	1.02	1.8	0.6	0	0.5916	0	0.523	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	0.5916	0	0.9916	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	//
37820	63	1.02	1.02	1.8	0.6	0	0.5946	0	0.5238	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	0.5946	0	0.991	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	//
39040	63	1.02	1.02	1.8	0.6	0	0.5976	0	0.5245	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	0.5976	0	0.9904	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	0.6	0	//
40260	63	1.02	1.02	1.8	0.61	0	0.6006	0	0.5253	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	0.6006	0	0.9898	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	//
41480	63	1.02	1.02	1.8	0.61	0	0.6037	0	0.5261	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	0.6037	0	0.9892	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	//
42700	63	1.02	1.02	1.8	0.61	0	0.6067	0	0.5268	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	0.6067	0	0.9885	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	0.61	0	//
43920	63	1.02	1.02	1.8	0.62	0	0.6097	0	0.5276	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	0.6097	0	0.9879	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	//
45140	63	1.02	1.02	1.8	0.62	0	0.6127	0	0.5284	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	0.6127	0	0.9872	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	//
46360	63	1.02	1.02	1.8	0.62	0	0.6156	0	0.5291	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	0.6156	0	0.9865	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	0.62	0	//
47580	63	1.02	1.02	1.8	0.63	0	0.6186	0	0.5299	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	0.6186	0	0.9858	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	//
48800	63	1.02	1.02	1.8	0.63	0	0.6216	0	0.5307	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	0.6216	0	0.985	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	//
50020	63	1.02	1.02	1.8	0.63	0	0.6246	0	0.5314	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	0.6246	0	0.9843	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	0.63	0	//
51240	63	1.02	1.02	1.8	0.64	0	0.6276	0	0.5322	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.6276	0	0.9835	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	//
52460	63	1.02	1.02	1.8	0.64	0	0.6305	0	0.533	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.6305	0	0.9827	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	//
53680	63	1.02	1.02	1.8	0.64	0	0.6335	0	0.5337	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.6335	0	0.9819	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	//
54900	63	1.02	1.02	1.8	0.64	0	0.6364	0	0.5345	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.6364	0	0.9811	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	0.64	0	//
56120	63	1.02	1.02	1.8	0.65	0	0.6394	0	0.5353	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	0.6394	0	0.9802	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	//
57340	63	1.02	1.02	1.8	0.65	0	0.6423	0	0.536	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	0.6423	0	0.9794	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	//
58560	63	1.02	1.02	1.8	0.65	0	0.6453	0	0.5368	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	0.6453	0	0.9785	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	0.65	0	//
59780	63	1.02	1.02	1.8	0.66	0	0.6482	0	0.5376	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	0.6482	0	0.9776	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	//
61000	63	1.02	1.02	1.8	0.66	0	0.6511	0	0.5383	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	0.6511	0	0.9767	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	//
62220	63	1.02	1.02	1.8	0.66	0	0.6541	0	0.5391	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	0.6541	0	0.9757	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	0.66	0	//
63440	63	1.02	1.02	1.8	0.67	0	0.657	0	0.5399	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	0.657	0	0.9748	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	//
64660	63	1.02	1.02	1.8	0.67	0	0.6599	0	0.5406	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	0.6599	0	0.9738	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	//
65880	63	1.02	1.02	1.8	0.67	0	0.6628	0	0.5414	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	0.6628	0	0.9728	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	0.67	0	//
67100	63	1.02	1.02	1.8	0.68	0	0.6657	0	0.5421	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.6657	0	0.9718	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	//
68320	63	1.02	1.02	1.8	0.68	0	0.6686	0	0.5429	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.6686	0	0.9708	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	//
69540	63	1.02	1.02	1.8	0.68	0	0.6715	0	0.5437	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.6715	0	0.9697	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	//
70760	63	1.02	1.02	1.8	0.68	0	0.6744	0	0.5444	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.6744	0	0.9687	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	0.68	0	//
71980	63	1.02	1.02	1.8	0.69	0	0.6772	0	0.5452	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	0.6772	0	0.9676	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	//
73200	63	1.02	1.02	1.8	0.69	0	0.6801	0	0.546	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	0.6801	0	0.9665	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	//
74420	63	1.02	1.02	1.8	0.69	0	0.683	0	0.5467	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	0.683	0	0.9654	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	0.69	0	//
75640	63	1.02	1.02	1.8	0.7	0	0.6858	0	0.5475	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	0.6858	0	0.9643	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	//
76860	63	1.02	1.02	1.8	0.7	0	0.6887	0	0.5483	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	0.6887	0	0.9631	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	//
78080	63	1.02	1.02	1.8	0.7	0	0.6915	0	0.549	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	0.6915	0	0.9619	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	0.7	0	//
79300	63	1.02	1.02	1.8	0.71	0	0.6944	0	0.5498	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.6944	0	0.9608	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	//
80520	63	1.02	1.02	1.8	0.71	0	0.6972	0	0.5505	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.6972	0	0.9596	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	//
81740	63	1.02	1.02	1.8	0.71	0	0.7	0	0.5513	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.7	0	0.9583	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	//
82960	63	1.02	1.02	1.8	0.71	0	0.7028	0	0.5521	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.7028	0	0.9571	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	0.71	0	//
84180	63	1.02	1.02	1.8	0.72	0	0.7056	0	0.5528	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	0.7056	0	0.9559	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	//
85400	63	1.02	1.02	1.8	0.72	0	0.7084	0	0.5536	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	0.7084	0	0.9546	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	//
86620	63	1.02	1.02	1.8	0.72	0	0.7112	0	0.5544	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	0.7112	0	0.9533	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	0.72	0	//
87840	63	1.02	1.02	1.8	0.73	0	0.714	0	0.5551	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	0.714	0	0.952	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	//
89060	63	1.02	1.02	1.8	0.73	0	0.7167	0	0.5559	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	0.7167	0	0.9507	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	//
90280	63	1.02	1.02	1.8	0.73	0	0.7195	0	0.5566	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	0.7195	0	0.9493	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	0.73	0	//
91500	63	1.02	1.02	1.8	0.74	0	0.7223	0	0.5574	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.7223	0	0.948	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	//
92720	63	1.02	1.02	1.8	0.74	0	0.725	0	0.5582	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.725	0	0.9466	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	//
93940	63	1.02	1.02	1.8	0.74	0	0.7277	0	0.5589	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.7277	0	0.9452	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	//
95160	63	1.02	1.02	1.8	0.74	0	0.7305	0	0.5597	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.7305	0	0.9438	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	0.74	0	//
96380	63	1.02	1.02	1.8	0.75	0	0.7332	0	0.5605	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	0.7332	0	0.9424	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	//
97600	63	1.02	1.02	1.8	0.75	0	0.7359	0	0.5612	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	0.7359	0	0.941	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	//
98820	63	1.02	1.02	1.8	0.75	0	0.7386	0	0.562	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	0.7386	0	0.9395	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	0.75	0	//
100040	63	1.02	1.02	1.8	0.76	0	0.7413	0	0.5627	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.7413	0	0.938	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	//
101260	63	1.02	1.02	1.8	0.76	0	0.744	0	0.5635	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.744	0	0.9365	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	//
102480	63	1.02	1.02	1.8	0.76	0	0.7467	0	0.5643	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.7467	0	0.935	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	//
103700	63	1.02	1.02	1.8	0.76	0	0.7493	0	0.565	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.7493	0	0.9335	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	0.76	0	//
104920	63	1.02	1.02	1.8	0.77	0	0.752	0	0.5658	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.752	0	0.932	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	//
106140	63	1.02	1.02	1.8	0.77	0	0.7546	0	0.5665	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.7546	0	0.9304	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	//
107360	63	1.02	1.02	1.8	0.77	0	0.7573	0	0.5673	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.7573	0	0.9289	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	//
108580	63	1.02	1.02	1.8	0.77	0	0.7599	0	0.5681	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.7599	0	0.9273	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	0.77	0	//
109800	63	1.02	1.02	1.8	0.78	0	0.7625	0	0.5688	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	0.7625	0	0.9257	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	//
111020	63	1.02	1.02	1.8	0.78	0	0.7651	0	0.5696	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	0.7651	0	0.9241	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	//
112240	63	1.02	1.02	1.8	0.78	0	0.7677	0	0.5703	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	0.7677	0	0.9224	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	0.78	0	//
113460	63	1.02	1.02	1.8	0.79	0	0.7703	0	0.5711	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.7703	0	0.9208	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	//
114680	63	1.02	1.02	1.8	0.79	0	0.7729	0	0.5719	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.7729	0	0.9191	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	//
115900	63	1.02	1.02	1.8	0.79	0	0.7755	0	0.5726	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.7755	0	0.9174	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	//
117120	63	1.02	1.02	1.8	0.79	0	0.778	0	0.5734	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.778	0	0.9157	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	0.79	0	//
118340	63	1.02	1.02	1.8	0.8	0	0.7806	0	0.5741	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.7806	0	0.914	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	//
119560	63	1.02	1.02	1.8	0.8	0	0.7831	0	0.5749	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.7831	0	0.9123	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	//
120780	63	1.02	1.02	1.8	0.8	0	0.7856	0	0.5757	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.7856	0	0.9106	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	//
122000	63	1.02	1.02	1.8	0.8	0	0.7881	0	0.5764	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.7881	0	0.9088	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	0.8	0	//
123220	63	1.02	1.02	1.8	0.81	0	0.7907	0	0.5772	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.7907	0	0.907	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	//
124440	63	1.02	1.02	1.8	0.81	0	0.7931	0	0.5779	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.7931	0	0.9052	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	//
125660	63	1.02	1.02	1.8	0.81	0	0.7956	0	0.5787	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.7956	0	0.9034	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	//
126880	63	1.02	1.02	1.8	0.81	0	0.7981	0	0.5794	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.7981	0	0.9016	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	0.81	0	//
128100	63	1.02	1.02	1.8	0.82	0	0.8006	0	0.5802	0	0.82	0	0.82	0	0.82	0	0.82	0	0.82	0	0.8006	0	0.8998	0	0.82	0	0.82	0	0.82	0	0.82	0	0.82	0	0.82	0	0.82	0	//
129320	63	1.02	1.02	1.8	0.82	0	0.803	0	0.581	0	0.82	0	0.82	0	0.82	0	0.82	0	0.82	0	0.803	0	0.8979	0	0.82	0	0.82	0	0.82	0	0.82	0	0.82	0	0.82	0	0.82	0	//
